"var1","var2","abs.spearman.r","spearman.r","spearman.p"
"mean.nssb","mean.asa",NA,NA,NA
"mean.nssb","mean.betas",NA,NA,NA
"mean.nssb","mean.bfAA",NA,NA,NA
"mean.nssb","mean.bfC",NA,NA,NA
"mean.nssb","mean.bfCA",NA,NA,NA
"mean.nssb","mean.bfCB",NA,NA,NA
"mean.nssb","mean.bfN",NA,NA,NA
"mean.nssb","mean.bfO",NA,NA,NA
"mean.nssb","mean.bfSC",NA,NA,NA
"mean.nssb","mean.BSS",NA,NA,NA
"mean.nssb","mean.ddgent",NA,NA,NA
"mean.nssb","mean.ESS",NA,NA,NA
"mean.nssb","mean.GSS",NA,NA,NA
"mean.nssb","mean.hbdif",NA,NA,NA
"mean.nssb","mean.hbe_mean",NA,NA,NA
"mean.nssb","mean.helix",NA,NA,NA
"mean.nssb","mean.hpshh",NA,NA,NA
"mean.nssb","mean.hpskd",NA,NA,NA
"mean.nssb","mean.hpsww",NA,NA,NA
"mean.nssb","mean.HSS",NA,NA,NA
"mean.nssb","mean.ISS",NA,NA,NA
"mean.nssb","mean.LSS",NA,NA,NA
"mean.nssb","mean.rsa",NA,NA,NA
"mean.nssb","mean.seqent",NA,NA,NA
"mean.nssb","mean.sizeAA",NA,NA,NA
"mean.nssb","mean.sizeSC",NA,NA,NA
"mean.nssb","mean.SSS",NA,NA,NA
"mean.nssb","mean.TSS",NA,NA,NA
"mean.nssb","mean.wcnAA",NA,NA,NA
"mean.nssb","mean.wcnC",NA,NA,NA
"mean.nssb","mean.wcnCA",NA,NA,NA
"mean.nssb","mean.wcnCB",NA,NA,NA
"mean.nssb","mean.wcnN",NA,NA,NA
"mean.nssb","mean.wcnO",NA,NA,NA
"mean.nssb","mean.wcnSC",NA,NA,NA
"mean.nssb","median.asa",NA,NA,NA
"mean.nssb","median.bfAA",NA,NA,NA
"mean.nssb","median.bfC",NA,NA,NA
"mean.nssb","median.bfCA",NA,NA,NA
"mean.nssb","median.bfCB",NA,NA,NA
"mean.nssb","median.bfN",NA,NA,NA
"mean.nssb","median.bfO",NA,NA,NA
"mean.nssb","median.bfSC",NA,NA,NA
"mean.nssb","median.ddgent",NA,NA,NA
"mean.nssb","median.hbe_mean",NA,NA,NA
"mean.nssb","median.hpshh",NA,NA,NA
"mean.nssb","median.hpskd",NA,NA,NA
"mean.nssb","median.hpsww",NA,NA,NA
"mean.nssb","median.rsa",NA,NA,NA
"mean.nssb","median.seqent",NA,NA,NA
"mean.nssb","median.sizeAA",NA,NA,NA
"mean.nssb","median.sizeSC",NA,NA,NA
"mean.nssb","median.wcnAA",NA,NA,NA
"mean.nssb","median.wcnC",NA,NA,NA
"mean.nssb","median.wcnCA",NA,NA,NA
"mean.nssb","median.wcnCB",NA,NA,NA
"mean.nssb","median.wcnN",NA,NA,NA
"mean.nssb","median.wcnO",NA,NA,NA
"mean.nssb","median.wcnSC",NA,NA,NA
"mean.nssb","r.asa.bfAA",NA,NA,NA
"mean.nssb","r.asa.bfC",NA,NA,NA
"mean.nssb","r.asa.bfCA",NA,NA,NA
"mean.nssb","r.asa.bfCB",NA,NA,NA
"mean.nssb","r.asa.bfN",NA,NA,NA
"mean.nssb","r.asa.bfO",NA,NA,NA
"mean.nssb","r.asa.bfSC",NA,NA,NA
"mean.nssb","r.asa.ddgent",NA,NA,NA
"mean.nssb","r.asa.hbe_mean",NA,NA,NA
"mean.nssb","r.asa.hpshh",NA,NA,NA
"mean.nssb","r.asa.hpskd",NA,NA,NA
"mean.nssb","r.asa.hpsww",NA,NA,NA
"mean.nssb","r.asa.rsa",NA,NA,NA
"mean.nssb","r.asa.seqent",NA,NA,NA
"mean.nssb","r.asa.sizeAA",NA,NA,NA
"mean.nssb","r.asa.sizeSC",NA,NA,NA
"mean.nssb","r.asa.wcnAA",NA,NA,NA
"mean.nssb","r.asa.wcnC",NA,NA,NA
"mean.nssb","r.asa.wcnCA",NA,NA,NA
"mean.nssb","r.asa.wcnCB",NA,NA,NA
"mean.nssb","r.asa.wcnN",NA,NA,NA
"mean.nssb","r.asa.wcnO",NA,NA,NA
"mean.nssb","r.asa.wcnSC",NA,NA,NA
"mean.nssb","r.bfAA.asa",NA,NA,NA
